
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
Hartlaub's Duck	Pteronetta hartlaubii	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Cape Teal	Anas capensis	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Tufted Duck	Aythya fuligula	Rare/Accidental
 
GALLIFORMES: Numididae

White-breasted Guineafowl	Agelastes meleagrides	Vulnerable
Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
White-throated Francolin	Campocolinus albogularis	
Blue Quail	Synoicus adansonii	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Ahanta Spurfowl	Pternistis ahantensis	
Double-spurred Spurfowl	Pternistis bicalcaratus	
 
CAPRIMULGIFORMES: Caprimulgidae

Brown Nightjar	Veles binotatus	
Red-necked Nightjar	Caprimulgus ruficollis	Rare/Accidental
European Nightjar	Caprimulgus europaeus	Rare/Accidental
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
Black Spinetail	Telacanthura melanopygia	
Sabine's Spinetail	Rhaphidura sabini	
Cassin's Spinetail	Neafrapus cassini	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	
Bates's Swift	Apus batesi	Rare/Accidental
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Western Plantain-eater	Crinifer piscator	
Violet Turaco	Tauraco violaceus	
Yellow-billed Turaco	Tauraco macrorhynchus	
Guinea Turaco	Tauraco persa	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Denham's Bustard	Neotis denhami	Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Savile's Bustard	Lophotis savilei	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Black-throated Coucal	Centropus leucogaster	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Yellow-throated Cuckoo	Chrysococcyx flavigularis	
African Emerald Cuckoo	Chrysococcyx cupreus	
Dusky Long-tailed Cuckoo	Cercococcyx mechowi	
Olive Long-tailed Cuckoo	Cercococcyx olivinus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
PTEROCLIFORMES: Pteroclidae

Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Speckled Pigeon	Columba guinea	
Afep Pigeon	Columba unicincta	
Western Bronze-naped Pigeon	Columba iriditorques	
Lemon Dove	Columba larvata	
European Turtle Dove	Streptopelia turtur	Rare/Accidental Vulnerable
Red-eyed Dove	Streptopelia semitorquata	
Vinaceous Dove	Streptopelia vinacea	
Laughing Dove	Spilopelia senegalensis	
Black-billed Wood Dove	Turtur abyssinicus	
Blue-spotted Wood Dove	Turtur afer	
Tambourine Dove	Turtur tympanistria	
Blue-headed Wood Dove	Turtur brehmeri	
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Sarothruridae

White-spotted Flufftail	Sarothrura pulchra	
Buff-spotted Flufftail	Sarothrura elegans	
 
GRUIFORMES: Rallidae

Grey-throated Rail	Canirallus oculeus	
African Crake	Crecopsis egregia	
Corn Crake	Crex crex	Rare/Accidental
Spotted Crake	Porzana porzana	Rare/Accidental
Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	
African Swamphen	Porphyrio madagascariensis	
Black Crake	Zapornia flavirostra	
Baillon's Crake	Zapornia pusilla	
Nkulengu Rail	Himantornis haematopus	
Striped Crake	Aenigmatolimnas marginalis	
 
GRUIFORMES: Gruidae

Black Crowned Crane	Balearica pavonina	Vulnerable
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
Lesser Flamingo	Phoeniconaias minor	Near-threatened
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
Black-rumped Buttonquail	Turnix nanus	
Quail-plover	Ortyxelos meiffrenii	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Senegal Thick-knee	Burhinus senegalensis	
Water Thick-knee	Burhinus vermiculatus	
Spotted Thick-knee	Burhinus capensis	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Spur-winged Lapwing	Vanellus spinosus	
Black-headed Lapwing	Vanellus tectus	
White-crowned Lapwing	Vanellus albiceps	
Senegal Lapwing	Vanellus lugubris	
African Wattled Lapwing	Vanellus senegallus	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kittlitz's Plover	Charadrius pecuarius	
Three-banded Plover	Charadrius tricollaris	Rare/Accidental
Forbes's Plover	Charadrius forbesi	
White-fronted Plover	Charadrius marginatus	
Kentish Plover	Charadrius alexandrinus	
Greater Sand Plover	Charadrius leschenaultii	Rare/Accidental
 
CHARADRIIFORMES: Pluvianidae

Egyptian Plover	Pluvianus aegyptius	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Lesser Jacana	Microparra capensis	
