ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
White-backed Duck	Thalassornis leuconotus	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Gadwall	Mareca strepera	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

White-throated Francolin	Campocolinus albogularis	
Common Quail	Coturnix coturnix	Rare/Accidental
Ahanta Spurfowl	Pternistis ahantensis	
Double-spurred Spurfowl	Pternistis bicalcaratus	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	Rare/Accidental
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
African Black Swift	Apus barbatus	Rare/Accidental
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Western Plantain-eater	Crinifer piscator	
Violet Turaco	Tauraco violaceus	
Guinea Turaco	Tauraco persa	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Rare/Accidental Near-threatened
Denham's Bustard	Neotis denhami	Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Savile's Bustard	Lophotis savilei	Rare/Accidental
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Black-throated Coucal	Centropus leucogaster	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
