
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
Somali Ostrich	Struthio molybdophanes	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	
Barnacle Goose	Branta leucopsis	Rare/Accidental
Bar-headed Goose	Anser indicus	
Snow Goose	Anser caerulescens	
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Blue-winged Goose	Cyanochen cyanoptera	
Egyptian Goose	Alopochen aegyptiaca	
Mauritius Sheldgoose	Alopochen mauritiana	Rare/Accidental
Reunion Sheldgoose	Alopochen kervazoi	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
South African Shelduck	Tadorna cana	
Australian Shelduck	Tadorna tadornoides	
Muscovy Duck	Cairina moschata	Introduced species
Hartlaub's Duck	Pteronetta hartlaubii	
Wood Duck	Aix sponsa	Introduced species
Mandarin Duck	Aix galericulata	
African Pygmy Goose	Nettapus auritus	
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Cape Shoveler	Spatula smithii	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Meller's Duck	Anas melleri	
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Rare/Accidental
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	
Mascarene Teal	Anas theodori	Rare/Accidental
Bernier's Teal	Anas bernieri	
Marbled Duck	Marmaronetta angustirostris	
Red-crested Pochard	Netta rufina	
Southern Pochard	Netta erythrophthalma	
Common Pochard	Aythya ferina	
Madagascar Pochard	Aythya innotata	
Ferruginous Duck	Aythya nyroca	
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	Rare/Accidental
Common Eider	Somateria mollissima	Rare/Accidental
Velvet Scoter	Melanitta fusca	
White-winged Scoter	Melanitta deglandi	
Common Scoter	Melanitta nigra	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental
Bufflehead	Bucephala albeola	Rare/Accidental
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	
Maccoa Duck	Oxyura maccoa	
White-headed Duck	Oxyura leucocephala	
 
GALLIFORMES: Numididae

White-breasted Guineafowl	Agelastes meleagrides	
Black Guineafowl	Agelastes niger	
Helmeted Guineafowl	Numida meleagris	
Plumed Guineafowl	Guttera plumifera	
Western Crested Guineafowl	Guttera verreauxi	
Eastern Crested Guineafowl	Guttera pucherani	
Southern Crested Guineafowl	Guttera edouardi	
Vulturine Guineafowl	Acryllium vulturinum	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
Nahan's Partridge	Ptilopachus nahani	
California Quail	Callipepla californica	
Northern Bobwhite	Colinus virginianus	
 
GALLIFORMES: Phasianidae

Udzungwa Forest Partridge	Xenoperdix udzungwensis	
