Struthio camelus,Least Concern
Struthio molybdophanes,Vulnerable
Dromaius novaehollandiae,Least Concern
Casuarius bennetti,Least Concern
Casuarius casuarius,Least Concern
Casuarius unappendiculatus,Least Concern
Apteryx australis,Vulnerable
Apteryx mantelli,Vulnerable
Apteryx maxima,Vulnerable
Apteryx owenii,Near Threatened
Apteryx rowi,Vulnerable
Rhea americana,Near Threatened
Rhea pennata,Least Concern
Tinamotis ingoufi,Least Concern
Tinamotis pentlandii,Least Concern
Eudromia elegans,Least Concern
Eudromia formosa,Least Concern
Taoniscus nanus,Endangered
Nothura boraquira,Least Concern
Nothura darwinii,Least Concern
Nothura maculosa,Least Concern
Nothura minor,Vulnerable
Rhynchotus maculicollis,Least Concern
Rhynchotus rufescens,Least Concern
Nothoprocta cinerascens,Least Concern
Nothoprocta curvirostris,Least Concern
Nothoprocta ornata,Least Concern
Nothoprocta pentlandii,Least Concern
Nothoprocta perdicaria,Least Concern
Nothoprocta taczanowskii,Vulnerable
Nothocercus bonapartei,Least Concern
Nothocercus julius,Least Concern
Nothocercus nigrocapillus,Least Concern
Tinamus guttatus,Near Threatened
Tinamus major,Least Concern
Tinamus osgoodi,Vulnerable
Tinamus solitarius,Near Threatened
Tinamus tao,Vulnerable
Crypturellus atrocapillus,Least Concern
Crypturellus bartletti,Least Concern
Crypturellus berlepschi,Least Concern
Crypturellus boucardi,Vulnerable
Crypturellus brevirostris,Least Concern
Crypturellus casiquiare,Least Concern
Crypturellus cinereus,Least Concern
Crypturellus cinnamomeus,Least Concern
Crypturellus duidae,Least Concern
Crypturellus erythropus,Least Concern
Crypturellus kerriae,Near Threatened
Crypturellus noctivagus,Near Threatened
Crypturellus obsoletus,Least Concern
Crypturellus parvirostris,Least Concern
Crypturellus ptaritepui,Least Concern
Crypturellus soui,Least Concern
Crypturellus strigulosus,Least Concern
Crypturellus tataupa,Least Concern
Crypturellus transfasciatus,Near Threatened
Crypturellus undulatus,Least Concern
Crypturellus variegatus,Least Concern
Anhima cornuta,Least Concern
Chauna chavaria,Least Concern
Chauna torquata,Least Concern
Anseranas semipalmata,Least Concern
Thalassornis leuconotus,Least Concern
Dendrocygna arborea,Near Threatened
