丛林八哥	Jungle Myna	Acridotheres fuscus
库岛苇莺	Cook Reed Warbler	Acrocephalus kerearako
阿蒂乌岛金丝燕	Atiu Swiftlet	Aerodramus sawtelli
灰燕鸥	Grey Noddy	Anous albivitta
拉岛辉椋鸟	Rarotonga Starling	Aplonis cinerascens
奇辉椋鸟	Mauke Starling	Aplonis mavornata
灰背鹱	Buller's Shearwater	Ardenna bulleri
褐燕鹱	Bulwer's Petrel	Bulweria bulwerii
斑胸滨鹬	Pectoral Sandpiper	Calidris melanotos
花斑鹱	Pintado Petrel	Daption capense
皇信天翁	Southern Royal Albatross	Diomedea epomophora
漂泊信天翁	Snowy Albatross	Diomedea exulans
北皇信天翁	Northern Royal Albatross	Diomedea sanfordi
马克萨斯皇鸠	Nuku Hiva Imperial Pigeon	Ducula galeata
白腹舰海燕	White-bellied Storm Petrel	Fregetta grallaria
小白燕鸥	Little White Tern	Gygis microrhyncha
白腰叉尾海燕	Leach's Storm Petrel	Hydrobates leucorhous
霍氏巨鹱	Northern Giant Petrel	Macronectes halli
火鸡	Wild Turkey	Meleagris gallopavo
白喉海燕	Polynesian Storm Petrel	Nesofregetta fuliginosa
黄蹼洋海燕	Wilson's Storm Petrel	Oceanites oceanicus
白领鸡鸠	Polynesian Ground Dove	Pampusana erythroptera
白腹果鹟	Rarotonga Monarch	Pomarea dimidiata
钩嘴圆尾鹱	Tahiti Petrel	Pseudobulweria rostrata
领圆尾鹱	Collared Petrel	Pterodroma brevipes
白领圆尾鹱	White-necked Petrel	Pterodroma cervicalis
黑脚圆尾鹱	Cook's Petrel	Pterodroma cookii
信使圆尾鹱	Herald Petrel	Pterodroma heraldica
鳞斑圆尾鹱	Mottled Petrel	Pterodroma inexpectata
白翅圆尾鹱	Gould's Petrel	Pterodroma leucoptera
克岛圆尾鹱	Kermadec Petrel	Pterodroma neglecta
黑翅圆尾鹱	Black-winged Petrel	Pterodroma nigripennis
墨氏圆尾鹱	Murphy's Petrel	Pterodroma ultima
拉罗果鸠	Lilac-crowned Fruit Dove	Ptilinopus rarotongensis
棕胸麻鸭	Australian Shelduck	Tadorna tadornoides
黑眉信天翁	Black-browed Albatross	Thalassarche melanophris
库克岛翡翠	Mewing Kingfisher	Todiramphus ruficollaris
博拉翡翠	Chattering Kingfisher	Todiramphus tutus
蓝鹦鹉	Blue Lorikeet	Vini peruviana
无斑田鸡	Spotless Crake	Zapornia tabuensis
